class,AATS4dv,C1SP2,C4SP3,NssCH2,NdsCH,NssssC,NdO,StCH,fragCpx,ZMIC1,FilterItLogS,PEOE_VSA2,PEOE_VSA12,SlogP_VSA10,EState_VSA1,nRing,n6aHRing,nG12FRing,n9FaRing
1,3.63963963963964,1,0,0,2,0,1,0.0,61.06,41.5659329828289,-2.439515955185122,0.0,0.0,4.794537184071822,0.0,2,0,0,0
1,3.2082239720035,1,0,10,0,0,1,0.0,139.07,49.84079639770029,-5.67586336138267,0.0,0.0,4.794537184071822,0.0,3,0,0,0
0,5.2729766803840885,1,0,0,0,0,1,0.0,124.07,49.10470440351452,-4.450065515191366,4.899909730850478,0.0,10.481923458755384,0.0,3,0,0,0
0,2.403361344537815,1,0,4,0,0,2,0.0,58.05,32.43652655341803,-2.36244635250641,0.0,0.0,4.794537184071822,5.625586319077987,2,0,0,0
0,5.074468085106383,1,0,1,0,0,1,0.0,134.07,48.849986061329616,-4.359557295611088,4.899909730850478,0.0,10.481923458755384,0.0,3,0,0,0
0,3.608585858585859,1,0,5,0,0,1,0.0,149.06,54.44410084070563,-6.20509041309054,4.899909730850478,0.0,10.481923458755384,0.0,3,0,0,0
1,4.080808080808081,1,0,5,0,0,1,0.0,114.07,38.29395749095631,-3.7054060472124446,0.0,0.0,4.794537184071822,0.0,3,0,0,0
0,6.322359396433471,1,0,5,0,1,1,0.0,134.11,42.88780379002592,-4.017826711997439,0.0,0.0,17.96578232709628,17.960266636528335,3,0,0,0
1,3.717948717948718,1,0,0,0,0,1,0.0,58.06,32.97477852095916,-2.89268633668154,0.0,0.0,4.794537184071822,0.0,2,0,0,0
0,4.8091168091168095,1,0,4,0,0,1,0.0,114.08,36.80901081628901,-3.1657584517951625,0.0,0.0,4.794537184071822,0.0,3,0,0,0
0,3.962037037037037,1,0,5,0,0,1,0.0,149.07,55.24528335993599,-6.41515242644613,4.899909730850478,0.0,10.481923458755384,0.0,3,0,0,0
1,4.523349436392914,1,0,1,0,0,1,0.0,61.07,34.885283553732414,-3.511624408877742,0.0,0.0,4.794537184071822,0.0,2,0,0,0
1,2.891737891737892,1,0,5,0,0,1,0.0,73.06,40.140434948714464,-4.880758590529187,0.0,0.0,4.794537184071822,0.0,2,0,0,0
1,4.180911680911681,1,0,2,0,0,1,0.0,64.07,35.2960815344039,-3.908759237537688,0.0,0.0,4.794537184071822,0.0,2,0,0,0
1,5.271604938271605,1,0,1,0,1,1,0.0,70.09,39.56892269670431,-3.76239463433759,0.0,0.0,17.96578232709628,17.960266636528335,2,0,0,0
0,3.6666666666666665,1,1,0,0,1,2,0.0,139.07,49.28371042544074,-5.058070380657293,4.794537184071822,0.0,5.687386274683562,5.756062822229453,3,0,0,0
1,5.487179487179487,1,0,0,0,1,1,0.0,67.09,39.35808728477673,-3.3664582298417587,0.0,0.0,17.96578232709628,11.73975000914047,2,0,0,0
0,5.204081632653061,2,0,1,0,0,3,0.0,134.07,50.212079442876245,-3.0106929551361143,4.794537184071822,5.907179729351506,4.794537184071822,24.146227017186185,3,0,0,0
0,4.177777777777778,1,0,4,0,0,1,0.0,114.07,35.48003756837804,-2.949025950923885,0.0,0.0,4.794537184071822,0.0,3,0,0,0
0,2.796491228070176,1,0,4,0,0,1,0.0,21.06,36.700143581858256,-3.211614210382775,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
1,1.77,0,0,0,0,0,1,0.0,16.05,37.832896990761455,-3.652446547008085,4.483030857694624,0.0,10.481923458755384,0.0,1,0,0,0
0,2.466019417475728,1,0,2,0,0,1,0.0,19.07,36.71361917274118,-4.273759447955663,4.794537184071822,5.783244946364939,4.39041504767482,11.600465787410831,1,0,0,0
0,1.9206349206349207,0,1,9,0,1,1,0.0,205.07,44.0201501825856,-3.7107232865819535,9.799819461700956,0.0,10.481923458755384,0.0,4,0,1,0
1,1.5277777777777777,0,1,16,0,1,1,0.0,254.07,62.1436255715615,-6.448836296430308,9.799819461700956,0.0,10.481923458755384,0.0,4,0,1,0
0,2.0000000000000004,1,0,2,0,0,1,0.0,19.06,36.46828008291233,-4.383852776515854,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
1,3.3758389261744965,1,0,9,0,0,0,0.0,219.07,50.53892703585672,-5.397575698911612,4.899909730850478,0.0,11.374772549367124,0.0,4,0,0,0
0,3.089777777777778,1,0,4,0,0,1,0.0,79.08,38.67219804347131,-5.62777867299736,4.794537184071822,0.0,5.687386274683562,0.0,2,0,0,0
0,2.8091503267973854,1,0,4,0,0,1,0.0,20.07,38.73735020823347,-4.298368768359621,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
0,2.530201342281879,1,0,10,0,0,0,0.0,139.08,50.75018014201713,-3.515696047689447,4.899909730850478,0.0,0.0,0.0,3,0,0,0
0,2.3777777777777778,0,0,9,0,0,0,0.0,191.06,47.09450496373562,-4.686066317993781,9.467009378641832,0.0,0.0,0.0,4,0,0,1
0,2.002544529262087,1,0,4,0,0,1,0.0,22.07,38.94696640653764,-4.906026216022553,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
0,2.7450980392156863,1,0,2,0,0,1,0.0,18.06,33.91504797823454,-3.288305622002629,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
